,QID,Headline,QType,Article ID
0,QID67,Aker BP and Lundite Energy Mergers Gets All Necessary Approvals,0,
1,QID77,Cultec Inc. Announced to be Acquired by Advanced Drainage Systems,0,
2,QID87,The Keys Considerations for a Successful Law Firm Merger,0,
3,QID97,Perrigo Acquires HRA Pharma,0,
4,QID107,Elon Musk has a New Twitter CEO Lined Up,0,
5,QID117,JetBlue set to acquire smaller airline company,0,
6,QID127,Sausalito might purchase historic wartime machine shop,0,
7,QID142,Apollo Life Sciences acquires pre-clinical test facility,0,216
8,QID143,Apollo Life Sciences acquires pre-clinical test facility,1,216
9,QID144,Apollo Life Sciences acquires pre-clinical test facility,2,216
10,QID147,BOOM Logistics tips 62pc profit rise; plans acquisition,0,136
11,QID148,BOOM Logistics tips 62pc profit rise; plans acquisition,1,136
12,QID149,BOOM Logistics tips 62pc profit rise; plans acquisition,2,136
13,QID152,Bravura finalises transfer agency software acquisition,0,55
14,QID153,Bravura finalises transfer agency software acquisition,1,55
15,QID154,Bravura finalises transfer agency software acquisition,2,55
16,QID157,"Gazal Corp FY net profit $12.48m, acquires Bracks",0,187
17,QID158,"Gazal Corp FY net profit $12.48m, acquires Bracks",1,187
18,QID159,"Gazal Corp FY net profit $12.48m, acquires Bracks",2,187
19,QID162,Nuplex to acquire Huntsman Chemical assets for $20.3m,0,29
20,QID163,Nuplex to acquire Huntsman Chemical assets for $20.3m,1,29
21,QID164,Nuplex to acquire Huntsman Chemical assets for $20.3m,2,29
22,QID167,Sundance Energy acquires Calf Woman-1 producer well,0,32
23,QID168,Sundance Energy acquires Calf Woman-1 producer well,1,32
24,QID169,Sundance Energy acquires Calf Woman-1 producer well,2,32
25,QID172,HHG posts full-year net profit of 38m pounds,0,86
26,QID173,HHG posts full-year net profit of 38m pounds,1,86
27,QID174,HHG posts full-year net profit of 38m pounds,2,86
28,QID177,Prime TV acquires six radio stations in Queensland,0,190
29,QID178,Prime TV acquires six radio stations in Queensland,1,190
30,QID179,Prime TV acquires six radio stations in Queensland,2,190
31,QID182,M2 continues expansion,0,51
32,QID183,M2 continues expansion,1,51
33,QID184,M2 continues expansion,2,51
34,QID187,ANZ expands alliance with ING in New Zealand,0,226
35,QID188,ANZ expands alliance with ING in New Zealand,1,226
36,QID189,ANZ expands alliance with ING in New Zealand,2,226
37,QID192,Fox Resources acquires Radio Hill royalties,0,81
38,QID193,Fox Resources acquires Radio Hill royalties,1,81
39,QID194,Fox Resources acquires Radio Hill royalties,2,81
40,QID197,Cellnet Group Ltd has finalised a deal to buy VME Systems,0,10
41,QID198,Cellnet Group Ltd has finalised a deal to buy VME Systems,1,10
42,QID199,Cellnet Group Ltd has finalised a deal to buy VME Systems,2,10
43,QID202,RCR Tomlinson says not considering $50m acquisition,0,176
44,QID203,RCR Tomlinson says not considering $50m acquisition,1,176
45,QID204,RCR Tomlinson says not considering $50m acquisition,2,176
46,QID207,Bayer blocks Techstar deal to acquire Tecnostics,0,174
47,QID208,Bayer blocks Techstar deal to acquire Tecnostics,1,174
48,QID209,Bayer blocks Techstar deal to acquire Tecnostics,2,174
49,QID212,Austar first-quarter profit up 32pc,0,107
50,QID213,Austar first-quarter profit up 32pc,1,107
51,QID214,Austar first-quarter profit up 32pc,2,107
52,QID217,CBD Energy completes sale of subsidiary,0,144
53,QID218,CBD Energy completes sale of subsidiary,1,144
54,QID219,CBD Energy completes sale of subsidiary,2,144
55,QID222,Bullion Minerals acquires portfolio of uranium projects,0,134
56,QID223,Bullion Minerals acquires portfolio of uranium projects,1,134
57,QID224,Bullion Minerals acquires portfolio of uranium projects,2,134
58,QID227,Flat Glass acquires Alternative Glass,0,52
59,QID228,Flat Glass acquires Alternative Glass,1,52
60,QID229,Flat Glass acquires Alternative Glass,2,52
61,QID232,Argus not proceeding with Advanced acquisition,0,45
62,QID233,Argus not proceeding with Advanced acquisition,1,45
63,QID234,Argus not proceeding with Advanced acquisition,2,45
64,QID237,ACCC to not oppose acquisition of WMC Resources by BHP,0,101
65,QID238,ACCC to not oppose acquisition of WMC Resources by BHP,1,101
66,QID239,ACCC to not oppose acquisition of WMC Resources by BHP,2,101
67,QID242,Medusa completes Philsaga transaction,0,58
68,QID243,Medusa completes Philsaga transaction,1,58
69,QID244,Medusa completes Philsaga transaction,2,58
70,QID247,Hyro acquisition to add $50m revenue,0,21
71,QID248,Hyro acquisition to add $50m revenue,1,21
72,QID249,Hyro acquisition to add $50m revenue,2,21
73,QID252,Psivida in talks over potential US acquisition,0,173
74,QID253,Psivida in talks over potential US acquisition,1,173
75,QID254,Psivida in talks over potential US acquisition,2,173
76,QID257,CogState to acquire Canadian disease ID software,0,203
77,QID258,CogState to acquire Canadian disease ID software,1,203
78,QID259,CogState to acquire Canadian disease ID software,2,203
79,QID262,IAG acquires second Thai insurer,0,130
80,QID263,IAG acquires second Thai insurer,1,130
81,QID264,IAG acquires second Thai insurer,2,130
82,QID267,Flight Centre formally completes Indian acquisition,0,241
83,QID268,Flight Centre formally completes Indian acquisition,1,241
84,QID269,Flight Centre formally completes Indian acquisition,2,241
85,QID272,Hyro outsourcing and acquisition deal with Izilla,0,128
86,QID273,Hyro outsourcing and acquisition deal with Izilla,1,128
87,QID274,Hyro outsourcing and acquisition deal with Izilla,2,128
88,QID277,"Photon acquires Media Zoo, Republicorp, Kaleidoscope",0,178
89,QID278,"Photon acquires Media Zoo, Republicorp, Kaleidoscope",1,178
90,QID279,"Photon acquires Media Zoo, Republicorp, Kaleidoscope",2,178
91,QID282,"Constellation sets record, expects further gains",0,94
92,QID283,"Constellation sets record, expects further gains",1,94
93,QID284,"Constellation sets record, expects further gains",2,94
94,QID287,Traffic Technologies to raise $8 million,0,185
95,QID288,Traffic Technologies to raise $8 million,1,185
96,QID289,Traffic Technologies to raise $8 million,2,185
97,QID292,Valad acquires investment stake in Osprey,0,77
98,QID293,Valad acquires investment stake in Osprey,1,77
99,QID294,Valad acquires investment stake in Osprey,2,77
100,QID297,Nexus Energy acquires Crux gas field,0,209
101,QID298,Nexus Energy acquires Crux gas field,1,209
102,QID299,Nexus Energy acquires Crux gas field,2,209
103,QID302,Coffey makes two project management acquisitions,0,42
104,QID303,Coffey makes two project management acquisitions,1,42
